11:36:36   22.01.2015              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2014 10:20  -  22.01.2015 10:20 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    29	Samedan                 1709 m.ü.M.	787149/ 155701
Anzahl Parameter  6
   261  Lufttemperatur 2 m über Boden; Stundenmittel  [°C]
   266  Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel  [%]
   283  Windgeschwindigkeit skalar; Stundenmittel  [m/s]
   269  Globalstrahlung; Stundenmittel  [W/m²]
   306  Luftdruck auf Stationshöhe (QFE); Stundenmittel  [hPa]
   267  Niederschlag; Stundensumme  [mm]

  STA JAHR MO TG HH MM   261   266   283   269   306   267
   29 2014  1  5 18  0  -5.2  95.8   0.5     0 823.4   0.0 
   29 2014  1  5 19  0  -4.6  93.0   0.6     0 823.9   0.0 
   29 2014  1  5 20  0  -5.1  92.8   0.4     0 824.5   0.0 
   29 2014  1  5 21  0  -5.3  93.2   0.6     0 824.5   0.0 
   29 2014  1  5 22  0  -7.0  96.7   0.4     0 824.8   0.0 
   29 2014  1  5 23  0  -7.0  92.0   0.7     0 825.3   0.0 
   29 2014  1  6  0  0  -7.6  88.6   0.6     0 825.7   0.0 
   29 2014  1  6  1  0  -8.0  89.3   0.5     0 826.3   0.0 
   29 2014  1  6  2  0  -8.9  90.7   0.5     0 826.9   0.0 
   29 2014  1  6  3  0 -10.3  94.5   0.4     0 827.1   0.0 
   29 2014  1  6  4  0 -11.3  94.6   0.4     0 827.2   0.0 
   29 2014  1  6  5  0 -13.4  93.2   0.4     0 827.3   0.0 
   29 2014  1  6  6  0 -12.5  89.6   0.6     0 827.7   0.0 
   29 2014  1  6  7  0 -12.5  90.2   0.9     5 828.4   0.0 
   29 2014  1  6  8  0 -12.2  89.0   0.4    63 829.1   0.0 
   29 2014  1  6  9  0  -9.6  86.7   0.3   269 829.3   0.0 
   29 2014  1  6 10  0  -8.6  90.4   0.3   336 829.4   0.0 
   29 2014  1  6 11  0  -5.9  86.0   0.5   365 829.4   0.0 
   29 2014  1  6 12  0  -4.7  87.1   0.2   352 829.1   0.0 
   29 2014  1  6 13  0  -3.8  87.7   0.2   241 829.2   0.0 
   29 2014  1  6 14  0  -4.0  90.3   0.5   143 829.8   0.0 
   29 2014  1  6 15  0  -4.5  93.3   0.8    42 830.2   0.0 
   29 2014  1  6 16  0  -5.1  96.5   0.6     0 830.5   0.0 
   29 2014  1  6 17  0  -6.0  96.5   0.6     0 830.6   0.0 
   29 2014  1  6 18  0  -5.6  93.7   0.8     0 830.3   0.0 
   29 2014  1  6 19  0  -7.2  96.0   0.5     0 829.9   0.0 
   29 2014  1  6 20  0  -6.4  92.7   1.5     0 830.4   0.0 
   29 2014  1  6 21  0  -5.4  90.2   1.3     0 830.3   0.0 
   29 2014  1  6 22  0  -4.8  90.1   1.0     0 830.3   0.0 
   29 2014  1  6 23  0  -5.6  93.3   0.9     0 830.2   0.0 
   29 2014  1  7  0  0  -7.0  95.4   0.7     0 830.4   0.0 
   29 2014  1  7  1  0  -7.8  95.6   0.9     0 830.5   0.0 
   29 2014  1  7  2  0  -9.2  97.2   0.7     0 831.1   0.0 
   29 2014  1  7  3  0  -9.0  94.2   1.1     0 831.0   0.0 
   29 2014  1  7  4  0  -9.0  94.2   1.0     0 830.9   0.0 
   29 2014  1  7  5  0  -9.1  94.1   0.6     0 830.8   0.0 
   29 2014  1  7  6  0  -8.6  90.6   0.7     0 831.4   0.0 
   29 2014  1  7  7  0  -7.9  89.8   0.9     3 831.6   0.0 
   29 2014  1  7  8  0  -6.5  90.2   0.8    56 831.9   0.0 
   29 2014  1  7  9  0  -7.0  92.3   0.6   105 832.4   0.0 
   29 2014  1  7 10  0  -6.1  91.8   0.6   195 832.3   0.0 
   29 2014  1  7 11  0  -4.4  87.0   1.2   385 831.9   0.0 
   29 2014  1  7 12  0  -1.0  81.3   1.2   365 831.6   0.0 
   29 2014  1  7 13  0  -0.6  82.7   0.7   284 831.6   0.0 
   29 2014  1  7 14  0  -0.5  86.4   0.9   169 831.7   0.0 
   29 2014  1  7 15  0  -2.0  91.8   0.7    70 831.8   0.0 
   29 2014  1  7 16  0  -3.3  97.9   0.7     1 832.2   0.0 
   29 2014  1  7 17  0  -4.4  94.5   2.3     0 832.6   0.0 
   29 2014  1  7 18  0  -4.2  90.6   2.9     0 832.9   0.0 
   29 2014  1  7 19  0  -4.5  90.0   2.8     0 833.3   0.0 
   29 2014  1  7 20  0  -6.5  92.6   1.5     0 833.7   0.0 
   29 2014  1  7 21  0  -7.2  95.6   0.8     0 833.7   0.0 
   29 2014  1  7 22  0  -7.8  95.1   0.9     0 833.7   0.0 
   29 2014  1  7 23  0  -9.3  94.5   0.9     0 833.8   0.0 
   29 2014  1  8  0  0  -9.2  92.0   0.9     0 833.5   0.0 
   29 2014  1  8  1  0  -9.5  92.9   0.9     0 833.4   0.0 
